YEAR,MONTH,DAY,HOUR,NO2
2018,02,05,10,26.5
2018,02,05,11,24.4
2018,02,05,12,20.7
2018,02,05,13,20.6
2018,02,05,14,23.1
2018,02,05,15,24.9
2018,02,05,16,33.5
2018,02,05,17,35.2
2018,02,05,18,37.7
2018,02,05,19,39.5
2018,02,05,20,40.7
2018,02,05,21,35.0
2018,02,05,22,31.2
2018,02,05,23,33.4
2018,02,06,00,45.0
2018,02,06,01,34.4
2018,02,06,02,45.6
2018,02,06,03,39.8
2018,02,06,04,37.1
2018,02,06,05,38.2
2018,02,06,06,47.7
2018,02,06,07,52.4
2018,02,06,08,55.4
2018,02,06,09,42.7
2018,02,06,10,37.1
2018,02,06,11,32.9
2018,02,06,12,25.6
2018,02,06,13,21.7
2018,02,06,14,18.6
2018,02,06,15,19.8
2018,02,06,16,25.9
2018,02,06,17,41.8
2018,02,06,18,81.4
2018,02,06,19,37.6
2018,02,06,20,54.4
2018,02,06,21,63.0
2018,02,06,22,73.2
2018,02,06,23,60.7
2018,02,07,00,61.5
2018,02,07,01,53.3
2018,02,07,02,77.2
2018,02,07,03,77.7
2018,02,07,04,69.9
2018,02,07,05,62.3
2018,02,07,06,70.3
2018,02,07,07,100.3
2018,02,07,08,95.9
2018,02,07,09,97.8
2018,02,07,10,69.9
2018,02,07,11,39.3
2018,02,07,12,21.6
2018,02,07,13,22.0
2018,02,07,14,21.0
2018,02,07,15,18.0
2018,02,07,16,20.1
2018,02,07,17,28.8
2018,02,07,18,33.8
2018,02,07,19,56.5
2018,02,07,20,89.8
2018,02,07,21,87.7
2018,02,07,22,87.3
2018,02,07,23,81.4
2018,02,08,00,62.6
2018,02,08,01,46.2
2018,02,08,02,33.6
2018,02,08,03,46.2
2018,02,08,04,47.9
2018,02,08,05,50.2
2018,02,08,06,45.6
2018,02,08,07,48.5
2018,02,08,08,51.0
2018,02,08,09,57.1
2018,02,08,10,48.5
2018,02,08,11,42.4
2018,02,08,12,29.2
2018,02,08,13,25.0
2018,02,08,14,29.8
2018,02,08,15,36.9
2018,02,08,16,29.0
2018,02,08,17,49.1
2018,02,08,18,45.5
2018,02,08,19,31.1
2018,02,08,20,49.1
2018,02,08,21,64.2
2018,02,08,22,49.9
2018,02,08,23,42.4
2018,02,09,00,35.9
2018,02,09,01,31.9
2018,02,09,02,28.3
2018,02,09,03,37.8
2018,02,09,04,35.7
2018,02,09,05,42.6
2018,02,09,06,44.7
2018,02,09,07,45.6
2018,02,09,08,44.7
2018,02,09,09,36.7
2018,02,09,10,27.5
2018,02,09,11,25.6
2018,02,09,12,30.4
2018,02,09,13,30.6
2018,02,09,14,29.4
2018,02,09,15,29.8
2018,02,09,16,44.7
2018,02,09,17,41.1
2018,02,09,18,42.0
2018,02,09,19,33.2
2018,02,09,20,44.9
2018,02,09,21,58.4
2018,02,09,22,61.3
2018,02,09,23,90.9
2018,02,10,00,100.3
2018,02,10,01,85.4
2018,02,10,02,64.6
2018,02,10,03,70.7
2018,02,10,04,77.4
2018,02,10,05,64.9
2018,02,10,06,17.0
2018,02,10,07,5.2
2018,02,10,08,7.8
2018,02,10,09,15.9
2018,02,10,10,25.6
2018,02,10,11,22.5
2018,02,10,12,21.4
2018,02,10,13,16.8
2018,02,10,14,21.6
2018,02,10,15,27.3
2018,02,10,16,29.2
2018,02,10,17,22.2
2018,02,10,18,22.9
2018,02,10,19,26.7
2018,02,10,20,24.6
2018,02,10,21,20.6
2018,02,10,22,21.8
2018,02,10,23,22.9
2018,02,11,00,19.3
2018,02,11,01,21.6
2018,02,11,02,17.6
2018,02,11,03,22.9
2018,02,11,04,14.9
2018,02,11,05,12.4
2018,02,11,06,25.4
2018,02,11,07,21.4
2018,02,11,08,17.2
2018,02,11,09,11.1
2018,02,11,10,6.7
2018,02,11,11,17.6
