YEAR,MONTH,DAY,HOUR,O3
2018,02,14,01,35.3
2018,02,14,02,33.8
2018,02,14,03,29.4
2018,02,14,04,21.9
2018,02,14,05,27.9
2018,02,14,06,22.8
2018,02,14,07,14.7
2018,02,14,08,18.8
2018,02,14,09,22.9
2018,02,14,10,35.3
2018,02,14,11,40.6
2018,02,14,12,39.2
2018,02,14,13,36.1
2018,02,14,14,41.4
2018,02,14,15,41.8
2018,02,14,16,29.0
2018,02,14,17,38.4
2018,02,14,18,46.7
2018,02,14,19,44.6
2018,02,14,20,50.1
2018,02,14,21,46.4
2018,02,14,22,45.9
2018,02,14,23,46.4
2018,02,15,00,43.9
2018,02,15,01,49.9
2018,02,15,02,49.1
2018,02,15,03,52.9
2018,02,15,04,43.1
2018,02,15,05,39.2
2018,02,15,06,41.1
2018,02,15,07,31.2
2018,02,15,08,34.8
2018,02,15,09,24.7
2018,02,15,10,22.4
2018,02,15,11,20.0
